iter	Passed	Remaining
829	9801	2007
830	9812	1995
831	9825	1983
832	9836	1972
833	9847	1960
834	9859	1948
835	9869	1936
836	9882	1924
837	9893	1912
838	9904	1900
839	9913	1888
840	9925	1876
841	9938	1864
842	9949	1852
843	9960	1841
844	9972	1829
845	9982	1817
846	9995	1805
847	10006	1793
848	10017	1781
849	10028	1769
850	10040	1757
851	10049	1745
852	10061	1733
853	10072	1722
854	10084	1710
855	10095	1698
856	10106	1686
857	10118	1674
858	10129	1662
859	10141	1650
860	10152	1638
861	10162	1626
862	10174	1615
863	10186	1603
864	10198	1591
865	10209	1579
866	10221	1568
867	10232	1556
868	10244	1544
869	10255	1532
870	10267	1520
871	10279	1508
872	10291	1497
873	10302	1485
874	10314	1473
875	10327	1461
876	10339	1450
877	10351	1438
878	10362	1426
879	10372	1414
880	10385	1402
881	10397	1390
882	10408	1379
883	10419	1367
884	10431	1355
885	10443	1343
886	10455	1331
887	10467	1320
888	10478	1308
889	10490	1296
890	10504	1285
891	10520	1273
892	10535	1262
893	10547	1250
894	10561	1239
895	10575	1227
896	10590	1216
897	10603	1204
898	10616	1192
899	10627	1180
900	10639	1169
901	10650	1157
902	10661	1145
903	10672	1133
904	10684	1121
905	10695	1109
906	10705	1097
907	10717	1085
908	10728	1074
909	10739	1062
910	10750	1050
911	10761	1038
912	10773	1026
913	10786	1014
914	10797	1003
915	10809	991
916	10821	979
917	10834	967
918	10846	955
919	10857	944
920	10873	932
921	10888	921
922	10900	909
923	10916	897
924	10928	886
925	10941	874
926	10954	862
927	10968	851
928	10982	839
929	10995	827
930	11008	815
931	11021	804
932	11035	792
933	11049	780
934	11062	769
935	11077	757
936	11092	745
937	11104	733
938	11118	722
939	11131	710
940	11145	698
941	11159	687
942	11172	675
943	11184	663
944	11194	651
945	11205	639
946	11214	627
947	11227	615
948	11239	604
949	11251	592
950	11262	580
951	11275	568
952	11287	556
953	11298	544
954	11308	532
955	11319	520
956	11329	509
957	11343	497
958	11356	485
959	11369	473
960	11382	461
961	11395	450
